"State","County","BeachID","Beach Name","Year","Sample Count"
"CT","FAIRFIELD","CT921236","LONG BEACH (PROPER)","2011","27"
"CT","FAIRFIELD","CT921236","LONG BEACH (PROPER)","2012","12"
"CT","FAIRFIELD","CT921236","LONG BEACH (PROPER)","2013","8"
"CT","FAIRFIELD","CT921236","LONG BEACH (PROPER)","2014","6"
"CT","FAIRFIELD","CT921236","LONG BEACH (PROPER)","2015","0"
"CT","FAIRFIELD","CT927883","PEAR TREE POINT BEACH","2003","0"
"CT","FAIRFIELD","CT927883","PEAR TREE POINT BEACH","2004","0"
"CT","FAIRFIELD","CT927883","PEAR TREE POINT BEACH","2005","0"
"CT","FAIRFIELD","CT927883","PEAR TREE POINT BEACH","2006","0"
"CT","FAIRFIELD","CT927883","PEAR TREE POINT BEACH","2007","0"
"CT","FAIRFIELD","CT927883","PEAR TREE POINT BEACH","2008","0"
"CT","FAIRFIELD","CT927883","PEAR TREE POINT BEACH","2009","39"
"CT","FAIRFIELD","CT927883","PEAR TREE POINT BEACH","2010","77"
"CT","FAIRFIELD","CT927883","PEAR TREE POINT BEACH","2011","51"
"CT","FAIRFIELD","CT927883","PEAR TREE POINT BEACH","2012","36"
"CT","FAIRFIELD","CT927883","PEAR TREE POINT BEACH","2013","14"
"CT","FAIRFIELD","CT927883","PEAR TREE POINT BEACH","2014","26"
"CT","FAIRFIELD","CT927883","PEAR TREE POINT BEACH","2015","0"
"CT","FAIRFIELD","CT952269","WEED BEACH","2003","0"
"CT","FAIRFIELD","CT952269","WEED BEACH","2004","0"
"CT","FAIRFIELD","CT952269","WEED BEACH","2005","0"
"CT","FAIRFIELD","CT952269","WEED BEACH","2006","0"
"CT","FAIRFIELD","CT952269","WEED BEACH","2007","0"
"CT","FAIRFIELD","CT952269","WEED BEACH","2008","0"
"CT","FAIRFIELD","CT952269","WEED BEACH","2009","16"
"CT","FAIRFIELD","CT952269","WEED BEACH","2010","35"
"CT","FAIRFIELD","CT952269","WEED BEACH","2011","28"
"CT","FAIRFIELD","CT952269","WEED BEACH","2012","25"
"CT","FAIRFIELD","CT952269","WEED BEACH","2013","6"
"CT","FAIRFIELD","CT952269","WEED BEACH","2014","17"
"CT","FAIRFIELD","CT952269","WEED BEACH","2015","0"
"CT","FAIRFIELD","CT992639","WEST BEACH","2003","0"
"CT","FAIRFIELD","CT992639","WEST BEACH","2004","0"
"CT","FAIRFIELD","CT992639","WEST BEACH","2005","0"
"CT","FAIRFIELD","CT992639","WEST BEACH","2006","0"
"CT","FAIRFIELD","CT992639","WEST BEACH","2007","0"
"CT","FAIRFIELD","CT992639","WEST BEACH","2008","22"
"CT","FAIRFIELD","CT992639","WEST BEACH","2009","25"
"CT","FAIRFIELD","CT992639","WEST BEACH","2010","31"
"CT","FAIRFIELD","CT992639","WEST BEACH","2011","31"
"CT","FAIRFIELD","CT992639","WEST BEACH","2012","28"
"CT","FAIRFIELD","CT992639","WEST BEACH","2013","26"
"CT","FAIRFIELD","CT992639","WEST BEACH","2014","27"
