StateCode,BeachID,BeachName,Station ID,StationName,CountyName,Identifier,StartDate,StartTime,ZoneCode,ActivityTypeCode,CharacteristicName,ResultValue,DetectionQuantitationLimit,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-06-28 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-06-23 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-06-21 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-06-17 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-06-15 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-06-07 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-06-03 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,36,~~,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-05-26 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY113506,SHOREHAM BEACH,NY113506-01,,SUFFOLK,,2016-05-10 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY133112,CRAB MEADOW BEACH,NY133112-01,,SUFFOLK,,2016-09-13 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,12,~~,,,,,,,,
NY,NY133112,CRAB MEADOW BEACH,NY133112-01,,SUFFOLK,,2016-09-06 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,236,~~,,,,,,,,
NY,NY133112,CRAB MEADOW BEACH,NY133112-01,,SUFFOLK,,2016-09-01 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,4,~~,,,,,,,,
NY,NY133112,CRAB MEADOW BEACH,NY133112-01,,SUFFOLK,,2016-08-30 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,24,~~,,,,,,,,
NY,NY133112,CRAB MEADOW BEACH,NY133112-01,,SUFFOLK,,2016-08-26 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY133112,CRAB MEADOW BEACH,NY133112-01,,SUFFOLK,,2016-08-23 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY133112,CRAB MEADOW BEACH,NY133112-01,,SUFFOLK,,2016-08-16 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,40,~~,,,,,,,,
NY,NY133112,CRAB MEADOW BEACH,NY133112-01,,SUFFOLK,,2016-08-12 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY133112,CRAB MEADOW BEACH,NY133112-01,,SUFFOLK,,2016-08-09 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,8,~~,,,,,,,,
NY,NY133112,CRAB MEADOW BEACH,NY133112-01,,SUFFOLK,,2016-08-04 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY133112,CRAB MEADOW BEACH,NY133112-01,,SUFFOLK,,2016-08-02 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,4,~~,,,,,,,,
NY,NY133112,CRAB MEADOW BEACH,NY133112-01,,SUFFOLK,,2016-07-28 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,8,~~,,,,,,,,
NY,NY133112,CRAB MEADOW BEACH,NY133112-01,,SUFFOLK,,2016-07-26 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,12,~~,,,,,,,,
