"SiteID","Site Name","State","County","Total Number of Passing Samples","Number of Samples","Percent Pass All Samples","Grade All Samples","Dry Weather Passing Samples","Total Dry Weather Samples","Percent Pass Dry Samples","Grade Dry Samples","Wet Weather Passing Samples","Total Wet Weather Samples","Percent Pass Wet Samples","Grade Wet Samples"
"NY451928","TERRACES ON THE SOUND","NY","SUFFOLK","123","126","97.62","A","90","91","98.9","A","33","35","94.29","B+"
"NY456843","MILLER BEACH SURF CLUB","NY","SUFFOLK","143","149","95.97","A-","103","107","96.26","A-","40","42","95.24","A-"
"NY470082","BAYBERRY COVE BEACH","NY","SUFFOLK","95","112","84.82","C-","64","75","85.33","C","31","37","83.78","C-"
"NY471816","CALLAHAN'S BEACH","NY","SUFFOLK","181","193","93.78","B+","120","126","95.24","A-","61","67","91.04","B"
"NY477475","PORT JEFFERSON BEACH - WEST","NY","SUFFOLK","138","138","100.0","A+","93","93","100.0","A+","45","45","100.0","A+"
"NY477769","HOBART BEACH - BAY","NY","SUFFOLK","185","198","93.43","B+","150","159","94.34","B+","35","39","89.74","B-"
"NY498489","SHOREHAM VILLAGE BEACH","NY","SUFFOLK","142","145","97.93","A","108","108","100.0","A+","34","37","91.89","B"
"NY504437","COLD SPRING HARBOR BEACH CLUB","NY","SUFFOLK","188","213","88.26","C+","151","168","89.88","B-","37","45","82.22","D+"
"NY553462","STEERS BEACH","NY","SUFFOLK","184","211","87.2","C+","150","168","89.29","B-","34","43","79.07","D"
"NY558605","DOROTHY P. FLINT CAMP","NY","SUFFOLK","65","68","95.59","A-","48","51","94.12","B+","17","17","100.0","A+"
"NY563977","BEECH ROAD BEACH","NY","SUFFOLK","141","155","90.97","B-","108","114","94.74","B+","33","41","80.49","D"
"NY571635","WINCOMA BEACH","NY","SUFFOLK","171","180","95.0","A-","137","142","96.48","A-","34","38","89.47","B-"
"NY572777","SOUND VIEW BEACH ASSOCIATION","NY","SUFFOLK","126","130","96.92","A-","85","86","98.84","A","41","44","93.18","B+"
"NY574303","REEVES BEACH","NY","SUFFOLK","65","67","97.01","A","47","49","95.92","A-","18","18","100.0","A+"
